Series Name,Bibliographic ID Label,Bibliographic ID,Other Identifier Type,Other Identifier,Title,Creator,Contributor,Genre,Publisher,Date Created,Date Issued,Abstract,Language,Physical Description,Related Item Label,Related Item URL,Topical Subject,Geographic Subject,Temporal Subject,Terms of Use,Table of Contents,Note Type,Note,Note Type,Note,Publish,Hidden,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,Label,Offset,Skip Transcoding,Absolute Location
"Club, The",,,video recording identifier,144087,THE CLUB,,,,,,,#3168 - 3169 - FRINGE,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144087.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Club, The",,,video recording identifier,144088,THE CLUB,,,,,,,NOBLE/LUNA 3160 - 3162,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144088.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Club, The",,,video recording identifier,144089,THE CLUB,,,,,,,#3026 - 3028 - STRINGS,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144089.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Club, The",,,video recording identifier,144090,THE CLUB,,,,,,,#3034 - 3035 - JOHNNY WHITE,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144090.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Club, The",,,video recording identifier,144091,THE CLUB,,,,,,,TINA WELCH 3041 - 3042,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144091.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Club, The",,,video recording identifier,144092,THE CLUB,,,,,,,RIGHTEOUS JAZZ 3046 - 3048,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144092.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Club, The",,,video recording identifier,144093,THE CLUB,,,,,,,COLUMBUS EAST 3051 - 3053,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144093.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artist's Showcase,,,video recording identifier,144094,ARTIST'S SHOWCASE,,,,,,,ARTIST SHOWCASE 3061-3063,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144094.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Club, The",,,video recording identifier,144095,THE CLUB,,,,,,,INDIGOES 3066 - 3068,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144095.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Club, The",,,video recording identifier,144110,THE CLUB,,,,,,,#3148 - 3149 - LUNA CAVETT,,,,,,,,,,local,Green Label Master (WGBH program),general,,,,barcode144110.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
