Series Name,Bibliographic ID Label,Bibliographic ID,Other Identifier Type,Other Identifier,Title,Creator,Contributor,Genre,Publisher,Date Created,Date Issued,Abstract,Language,Physical Description,Related Item Label,Related Item URL,Topical Subject,Geographic Subject,Temporal Subject,Terms of Use,Table of Contents,Note Type,Note,Note Type,Note,Publish,Hidden,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,File,Label,Offset,Skip Transcoding,Absolute Location
Ten O'Clock News,,,video recording identifier,194112,Ten O'Clock News,,,,,,,"Jimmy Carter - Ronald Reagan Debate, reel 1",,,,,,,,,,local,News Tape,general,,,,barcode194112.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,227055,Daufuskie Island: Land Where My Fathers Died,,,,,,1991-02-21,No Information,,,,,,,,,,local,Original footage,general,,,,barcode227055.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,227431,SAY BROTHER (General Series),,,,,,1968-07-15,Dr. Debra Prothrow-Stith swearing in part 1,,,,,,,,,,local,Original footage,general,,,,barcode227431.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,227432,SAY BROTHER (General Series),,,,,,1968-07-15,Dr. Debra Prothrow-Stith swearing in part 2,,,,,,,,,,local,Original footage,general,,,,barcode227432.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,227433,Crime And Punishment,,,,,,1989-04-27,Minister Don Muhammad on drugs part 1,,,,,,,,,,local,Original footage,general,,,,barcode227433.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,227434,Crime And Punishment,,,,,,1989-04-27,Minister Don Muhammad on drugs part 2,,,,,,,,,,local,Original footage,general,,,,barcode227434.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,227436,Crime And Punishment,,,,,,1989-04-27,Sonoma Street at night,,,,,,,,,,local,Original footage,general,,,,barcode227436.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,227437,Crime And Punishment,,,,,,1989-04-27,Amanda Houston interview,,,,,,,,,,local,Original footage,general,,,,barcode227437.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,227435,Crime And Punishment,,,,,,1989-04-27,Jack Cullen interview,,,,,,,,,,local,Original footage,general,,,,barcode227435.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,227705,SAY BROTHER (General Series),,,,,,1968-07-15,Paula Elliot and Friends Jazz band,,,,,,,,,,local,Original footage,general,,,,barcode227705.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228034,SAY BROTHER (General Series),,,,,,1968-07-15,Beth Deare & Barbara Barrow-Murray speak 20 yrs,,,,,,,,,,local,Original footage,general,,,,barcode228034.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228033,SAY BROTHER (General Series),,,,,,1968-07-15,Andrew Jones walking in neighborhood (Washington St. ),,,,,,,,,,local,Original footage,general,,,,barcode228033.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228032,SAY BROTHER (General Series),,,,,,1968-07-15,Andrew Jones interview in his apartment,,,,,,,,,,local,Original footage,general,,,,barcode228032.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228031,SAY BROTHER (General Series),,,,,,1968-07-15,Andrew Jones performing violin w/ symphony,,,,,,,,,,local,Original footage,general,,,,barcode228031.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228030,Impressions,,,,,,1985-10-24,"""Impressions"" Danny Sloan dance company",,,,,,,,,,local,Original footage,general,,,,barcode228030.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228029,SAY BROTHER (General Series),,,,,,1968-07-15,Sistren Theatre group interview,,,,,,,,,,local,Original footage,general,,,,barcode228029.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228028,SAY BROTHER (General Series),,,,,,1968-07-15,A. Philip Randolph statue dedication part 1,,,,,,,,,,local,Original footage,general,,,,barcode228028.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228027,SAY BROTHER (General Series),,,,,,1968-07-15,A.Philp Randolph statue dedication part 2,,,,,,,,,,local,Original footage,general,,,,barcode228027.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228026,SAY BROTHER (General Series),,,,,,1968-07-15,A.Philp Randolph statue dedication part 3,,,,,,,,,,local,Original footage,general,,,,barcode228026.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228025,SAY BROTHER (General Series),,,,,,1968-07-15,A.Philp Randolph Plaque/ Back Bay station,,,,,,,,,,local,Original footage,general,,,,barcode228025.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228024,SAY BROTHER (General Series),,,,,,1968-07-15,A.Philp Randolph statue at rush hour.,,,,,,,,,,local,Original footage,general,,,,barcode228024.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228023,SAY BROTHER (General Series),,,,,,1968-07-15,Tina Allen interview (sculptor) A.Phillip Randolph,,,,,,,,,,local,Original footage,general,,,,barcode228023.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228022,SAY BROTHER (General Series),,,,,,1968-07-15,Theron Brown interview (S.C.P.) part 1,,,,,,,,,,local,Original footage,general,,,,barcode228022.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228021,SAY BROTHER (General Series),,,,,,1968-07-15,Theron Brown interview (S.C.P.) part 2,,,,,,,,,,local,Original footage,general,,,,barcode228021.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228020,SAY BROTHER (General Series),,,,,,1968-07-15,Badnick family interview part 1,,,,,,,,,,local,Original footage,general,,,,barcode228020.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228019,SAY BROTHER (General Series),,,,,,1968-07-15,Badnick family interview part 2,,,,,,,,,,local,Original footage,general,,,,barcode228019.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228018,SAY BROTHER (General Series),,,,,,1968-07-15,Hyannis: Walking tour of car w/Chef Chandler,,,,,,,,,,local,Original footage,general,,,,barcode228018.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,227991,SAY BROTHER (General Series),,,,,,1968-07-15,"Cox Bldg. opening/ Rev. Haynes, Cruz etc....",,,,,,,,,,local,Original footage,general,,,,barcode227991.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,227990,SAY BROTHER (General Series),,,,,,1968-07-15,Tenant Captains 1 tape #8,,,,,,,,,,local,Original footage,general,,,,barcode227990.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,227989,SAY BROTHER (General Series),,,,,,1968-07-15,Tenant Captains 2 / Tenant Assn. meeting tape #9,,,,,,,,,,local,Original footage,general,,,,barcode227989.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,227988,SAY BROTHER (General Series),,,,,,1968-07-15,Babatunde Olatunji : Workshop 1,,,,,,,,,,local,Original footage,general,,,,barcode227988.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228140,SAY BROTHER (General Series),,,,,,1968-07-15,Babatunde Olatunji : Workshop 3,,,,,,,,,,local,Original footage,general,,,,barcode228140.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228139,SAY BROTHER (General Series),,,,,,1968-07-15,Babatunde Olatunji interview 2,,,,,,,,,,local,Original footage,general,,,,barcode228139.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228138,SAY BROTHER (General Series),,,,,,1968-07-15,"Elliott's stand ups, intro to Babatunde Olatunji",,,,,,,,,,local,Original footage,general,,,,barcode228138.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228137,SAY BROTHER (General Series),,,,,,1968-07-15,Hattie Gossett interview,,,,,,,,,,local,Original footage,general,,,,barcode228137.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228136,SAY BROTHER (General Series),,,,,,1968-07-15,"Hattie Gossett ""Back at Ya"" at Dudley station",,,,,,,,,,local,Original footage,general,,,,barcode228136.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228126,In Search of the Blackamoor,,,,,,1989-02-09,James Spruill in (slo-mo),,,,,,,,,,local,Original footage,general,,,,barcode228126.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228134,In Search of the Blackamoor,,,,,,1989-02-09,Elliott's stand-up 2,,,,,,,,,,local,Original footage,general,,,,barcode228134.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228135,In Search of the Blackamoor,,,,,,1989-02-09,Elliott's stand-up 3,,,,,,,,,,local,Original footage,general,,,,barcode228135.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193811,Ten O'Clock News,,,,,,,"Cameras in court Byrne interview reel 2
 Reporter: Griffith",,,,,,,,,,local,News Tape,general,,,,barcode193811.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193810,Ten O'Clock News,,,,,,1976-01-01,"Cameras in court Byrne visual
 Reporter: Griffith",,,,,,,,,,local,News Tape,general,,,,barcode193810.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193809,Ten O'Clock News,,,,,,1976-01-01,"Cameras in court Byrne visuals
 Reporter: Griffith",,,,,,,,,,local,News Tape,general,,,,barcode193809.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193945,Ten O'Clock News,,,,,,,"Gays and Catholics, July 16
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193945.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193941,Ten O'Clock News,,,,,,,"Pages, May 16
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193941.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193942,Ten O'Clock News,,,,,,,"Georges Bank, July 9
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193942.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193943,Ten O'Clock News,,,,,,,"Stevie Wonder
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193943.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193939,Ten O'Clock News,,,,,,,"Duke / Drugs (SOT) Dec. 5
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193939.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193940,Ten O'Clock News,,,,,,,"Dubs 3: (BAD DUB) Computers, Traffic, Social Security, TV in the State House
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193940.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193933,Ten O'Clock News,,,,,,,"Peter Sellars, Aug. 2
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193933.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193815,Ten O'Clock News,,,,,,,"Agent Orange, May 7
 Reporter: Meg Vaillancourt",,,,,,,,,,local,News Tape,general,,,,barcode193815.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193814,Ten O'Clock News,,,,,,,"Meg Vaillancourt field tape
 Men and Women Voters",,,,,,,,,,local,News Tape,general,,,,barcode193814.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193936,Ten O'Clock News,,,,,,,"Meg Vaillancourt
 MDC dub from show tape",,,,,,,,,,local,News Tape,general,,,,barcode193936.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193845,Ten O'Clock News,,,,,,,"Meg Vaillancourt field tape
 Citgo, Nov. 17",,,,,,,,,,local,News Tape,general,,,,barcode193845.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193937,Ten O'Clock News,,,,,,,"Meg Vaillancourt field tape
 Spalding Gray, Oct. 1 (Air Date 10/19)
 Chronology: 1980s",,,,,,,,,,local,News Tape,general,,,,barcode193937.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193938,Ten O'Clock News,,,,,,,"Meg Vaillancourt field tape
 High Tech Dub, Nov. 12
 Chronology: 1980s",,,,,,,,,,local,News Tape,general,,,,barcode193938.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193846,Ten O'Clock News,,,,,,,"Meg Vaillancourt field tape
 Moon for the Misbegotten, Jan. 11
 Chronology: 1980s",,,,,,,,,,local,News Tape,general,,,,barcode193846.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193934,Ten O'Clock News,,,,,,,"Meg Vaillancourt field tape
 Toxic Resolve, Sept. 5
 Chronology: 1980s",,,,,,,,,,local,News Tape,general,,,,barcode193934.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193935,Ten O'Clock News,,,,,,,"Meg Vaillancourt
 Computers Master",,,,,,,,,,local,News Tape,general,,,,barcode193935.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,113152,Ten O'Clock News,,,,,,1976-01-01,"Ray Shamie as Republican US Senate candidate is compared to Reagan. Excerpt from debate with John Kerry sponsored by Herald. Clips from Reagan ad endorsing Shamie (in which he mispronounces Shamie's name), and Kerry ad in hardware store. Shamie criticizes Kerry for support of raising taxes to control deficit and fund domestic spending.
 
 Length: 4.18
 reporter: George",,,,,,,,,,local,News Tape,general,,,,barcode113152.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,193839,Ten O'Clock News,,,,,,,"Christy George field tape
 Navy at BC Jan. 21",,,,,,,,,,local,News Tape,general,,,,barcode193839.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten O'Clock News,,,video recording identifier,194140,Ten O'Clock News,,,,,,,"Meg Vaillancourt field tape
 Education",,,,,,,,,,local,News Tape,general,,,,barcode194140.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA,,,video recording identifier,295954,"KGB, the Computer and Me (The)",,,,,,1990-10-02,"Camera Rolls Y1, Y2
 Computer Espionage",,,,,,,,,,local,Original footage,general,,,,barcode295954.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA,,,video recording identifier,295953,"KGB, the Computer and Me (The)",,,,,,1990-10-02,"Camera Rolls Y3, Y4
 Computer Espionage",,,,,,,,,,local,Original footage,general,,,,barcode295953.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVA,,,video recording identifier,295952,"KGB, the Computer and Me (The)",,,,,,1990-10-02,"Camera Rolls Y5, Y6
 Computer Espionage",,,,,,,,,,local,Original footage,general,,,,barcode295952.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228048,SAY BROTHER (General Series),,,,,,1968-07-15,Black Studies Teleconference part 5,,,,,,,,,,local,Original footage,general,,,,barcode228048.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Say Brother,,,video recording identifier,228051,SAY BROTHER (General Series),,,,,,1968-07-15,Black Studies Teleconference part 7,,,,,,,,,,local,Original footage,general,,,,barcode228051.mkv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
